"Date","Price","Open","High","Low","Vol.","Change %"
"28-02-2023","742.25","755.00","757.10","739.65","10.56M","-1.41%"
"27-02-2023","752.90","753.00","754.40","738.45","6.72M","-0.55%"
"24-02-2023","757.10","775.70","775.80","755.00","4.36M","-0.77%"
"23-02-2023","762.95","774.00","777.50","761.85","4.06M","-1.19%"
"22-02-2023","772.15","777.00","781.65","766.50","3.26M","-0.89%"
"21-02-2023","779.05","783.05","788.00","778.15","2.77M","-0.01%"
"20-02-2023","779.15","781.25","793.80","777.10","3.38M","0.30%"
"17-02-2023","776.80","785.95","787.45","770.30","3.09M","-0.98%"
"16-02-2023","784.45","789.65","790.50","780.60","3.40M","-0.12%"
"15-02-2023","785.40","775.00","787.15","772.20","3.60M","1.32%"
"14-02-2023","775.20","769.00","777.60","766.20","3.50M","0.86%"
"13-02-2023","768.60","771.00","779.60","766.70","3.71M","-0.43%"
"10-02-2023","771.95","768.95","773.20","761.00","2.95M","0.69%"
"09-02-2023","766.65","770.00","775.10","761.30","5.91M","-1.09%"
"08-02-2023","775.10","778.00","781.00","765.00","9.95M","-1.37%"
"07-02-2023","785.90","793.90","795.85","783.00","4.13M","-0.42%"
"06-02-2023","789.25","789.70","794.65","778.80","2.41M","-0.46%"
"03-02-2023","792.90","779.90","794.95","778.40","5.49M","1.95%"
"02-02-2023","777.75","765.10","781.00","765.05","2.84M","1.12%"
"01-02-2023","769.10","775.95","784.65","756.60","4.47M","-0.16%"
"31-01-2023","770.30","775.00","779.00","768.40","8.54M","0.01%"
"30-01-2023","770.20","771.60","774.95","763.00","5.42M","-0.56%"
"27-01-2023","774.50","774.95","778.90","765.80","6.75M","-0.26%"
"25-01-2023","776.50","774.95","780.50","768.00","6.56M","0.11%"
"24-01-2023","775.65","773.00","777.55","761.00","5.01M","0.38%"
"23-01-2023","772.70","767.90","776.00","763.85","2.69M","1.08%"
"20-01-2023","764.45","775.85","775.85","758.30","6.29M","-0.98%"
"19-01-2023","772.00","776.00","776.50","765.65","4.17M","-0.59%"
"18-01-2023","776.55","768.20","780.00","766.00","5.80M","1.42%"
"17-01-2023","765.70","759.15","768.90","758.75","6.59M","0.86%"
"16-01-2023","759.15","766.40","768.10","754.65","5.78M","-0.67%"
"13-01-2023","764.30","757.00","765.95","752.00","12.28M","0.98%"
"12-01-2023","756.90","765.00","769.30","753.55","12.73M","-1.13%"
"11-01-2023","765.55","775.00","779.65","751.65","28.39M","-3.44%"
"10-01-2023","792.85","826.10","826.10","790.30","8.39M","-3.24%"
"09-01-2023","819.40","802.70","821.50","801.05","4.34M","2.94%"
"06-01-2023","796.00","807.55","812.25","792.00","3.20M","-1.38%"
"05-01-2023","807.10","825.00","825.00","803.75","5.30M","-0.58%"
"04-01-2023","811.80","818.95","820.45","806.20","2.97M","-0.71%"
"03-01-2023","817.60","810.35","818.80","808.50","1.72M","0.50%"
"02-01-2023","813.50","806.25","816.20","805.60","1.63M","0.92%"
"30-12-2022","806.10","824.70","824.80","804.95","3.11M","-1.78%"
"29-12-2022","820.75","807.05","824.75","760.10","6.11M","2.11%"
"28-12-2022","803.80","813.00","813.90","801.45","2.91M","-1.35%"
"27-12-2022","814.80","815.00","819.45","805.00","1.78M","0.47%"
"26-12-2022","811.00","805.05","815.20","801.15","6.02M","0.29%"
"23-12-2022","808.65","814.00","817.95","805.00","2.80M","-0.97%"
"22-12-2022","816.60","819.00","824.70","809.50","3.63M","0.32%"
"21-12-2022","814.00","833.00","833.05","812.35","5.08M","-1.80%"
"20-12-2022","828.95","839.75","839.75","822.00","2.83M","-1.36%"
"19-12-2022","840.40","822.70","845.05","822.00","6.40M","2.15%"
"16-12-2022","822.75","825.00","832.70","819.90","4.31M","-0.44%"
"15-12-2022","826.35","829.00","831.00","824.35","3.00M","-0.34%"
"14-12-2022","829.20","840.65","842.00","828.15","7.49M","-1.06%"
"13-12-2022","838.05","822.00","840.00","822.00","3.83M","1.16%"
"12-12-2022","828.40","832.60","836.95","825.40","3.15M","-0.78%"
"09-12-2022","834.90","830.30","836.60","823.95","4.62M","0.28%"
"08-12-2022","832.60","833.00","840.20","826.30","4.82M","-0.17%"
"07-12-2022","834.00","837.55","841.60","832.00","3.77M","0.08%"
"06-12-2022","833.35","844.90","845.00","829.70","5.57M","-1.27%"
"05-12-2022","844.10","851.00","851.60","840.85","3.31M","-0.54%"
"02-12-2022","848.65","851.40","851.95","839.10","3.51M","0.01%"
"01-12-2022","848.60","853.00","853.20","841.60","4.51M","-0.02%"
"30-11-2022","848.75","834.80","852.00","832.60","6.87M","1.54%"
"29-11-2022","835.85","839.00","844.80","835.00","2.68M","-0.19%"
"28-11-2022","837.40","840.25","852.55","836.05","3.67M","-1.12%"
"25-11-2022","846.85","852.00","860.00","841.60","2.99M","-0.18%"
"24-11-2022","848.35","846.00","851.00","837.75","3.46M","0.60%"
"23-11-2022","843.25","851.85","851.85","841.60","4.60M","-0.51%"
"22-11-2022","847.60","853.40","860.55","845.10","7.60M","-0.42%"
"21-11-2022","851.20","837.00","852.80","835.00","5.53M","1.66%"
"18-11-2022","837.30","849.95","851.85","831.10","7.41M","-1.05%"
"17-11-2022","846.15","841.80","849.40","838.40","4.55M","0.59%"
"16-11-2022","841.20","837.50","844.05","828.05","3.45M","0.71%"
"15-11-2022","835.25","822.65","838.75","822.65","6.23M","1.62%"
"14-11-2022","821.90","818.00","830.80","817.00","10.41M","-0.60%"
"11-11-2022","826.90","830.75","836.90","823.80","4.33M","0.14%"
"10-11-2022","825.75","819.80","830.70","817.55","4.43M","0.82%"
"09-11-2022","819.05","824.20","825.50","814.45","3.97M","-0.44%"
"07-11-2022","822.70","817.00","824.05","809.00","7.17M","0.77%"
"04-11-2022","816.40","815.70","821.80","809.20","3.77M","-0.27%"
"03-11-2022","818.65","809.75","824.40","804.20","5.90M","1.09%"
"02-11-2022","809.85","830.00","830.00","807.25","11.73M","-3.08%"
"01-11-2022","835.55","828.00","841.45","821.05","10.49M","0.43%"
"31-10-2022","832.00","823.00","833.80","820.00","5.49M","1.85%"
"28-10-2022","816.85","819.00","824.40","811.30","3.91M","-0.03%"
"27-10-2022","817.10","806.50","822.20","804.20","8.16M","1.84%"
"25-10-2022","802.30","806.15","806.35","798.70","3.18M","0.02%"
"24-10-2022","802.10","800.00","807.50","800.00","522.41K","0.58%"
"21-10-2022","797.45","790.00","802.85","789.75","4.81M","0.57%"
"20-10-2022","792.90","782.00","794.00","778.30","4.76M","1.21%"
"19-10-2022","783.40","787.95","788.65","779.50","5.22M","0.03%"
"18-10-2022","783.15","769.85","785.60","768.65","4.39M","2.24%"
"17-10-2022","766.00","761.00","771.00","759.85","4.57M","0.01%"
"14-10-2022","765.95","779.95","779.95","763.05","3.61M","-0.38%"
